Benchmark                                                                  Mode  Cnt    Score    Error  Units
DDSketchPaginatedCubicRecordingSpeedBenchmark.test                         avgt   10   10.223 ±  0.165  ms/op
DDSketchPaginatedLinearRecordingSpeedBenchmark.test                        avgt   10    8.031 ±  0.104  ms/op
DDSketchPaginatedLogarithmicRecordingSpeedBenchmark.test                   avgt   10   34.311 ±  0.228  ms/op
DDSketchPaginatedQuadraticRecordingSpeedBenchmark.test                     avgt   10    8.796 ±  0.083  ms/op
DDSketchSparseCubicRecordingSpeedBenchmark.test                            avgt   10  235.132 ±  8.969  ms/op
DDSketchSparseLinearRecordingSpeedBenchmark.test                           avgt   10  238.719 ±  7.932  ms/op
DDSketchSparseLogarithmicRecordingSpeedBenchmark.test                      avgt   10  240.327 ±  4.767  ms/op
DDSketchSparseQuadraticRecordingSpeedBenchmark.test                        avgt   10  237.192 ± 14.817  ms/op
DDSketchUnboundedSizeDenseCubicRecordingSpeedBenchmark.test                avgt   10    7.483 ±  0.135  ms/op
DDSketchUnboundedSizeDenseLinearRecordingSpeedBenchmark.test               avgt   10    5.730 ±  0.088  ms/op
DDSketchUnboundedSizeDenseLogarithmicRecordingSpeedBenchmark.test          avgt   10   31.157 ±  0.330  ms/op
DDSketchUnboundedSizeDenseQuadraticRecordingSpeedBenchmark.test            avgt   10    6.376 ±  0.104  ms/op
DynaHistDynamicLogLinearRecordingSpeedBenchmark.test                       avgt   10    8.214 ±  0.231  ms/op
DynaHistDynamicLogOptimalRecordingSpeedBenchmark.test                      avgt   10   34.497 ±  0.361  ms/op
DynaHistDynamicLogQuadraticRecordingSpeedBenchmark.test                    avgt   10    9.007 ±  0.182  ms/op
DynaHistDynamicOpenTelemetryExponentialBucketRecordingSpeedBenchmark.test  avgt   10    9.539 ±  0.103  ms/op
DynaHistStaticLogLinearRecordingSpeedBenchmark.test                        avgt   10    5.093 ±  0.095  ms/op
DynaHistStaticLogOptimalRecordingSpeedBenchmark.test                       avgt   10   34.716 ±  4.409  ms/op
DynaHistStaticLogQuadraticRecordingSpeedBenchmark.test                     avgt   10   11.177 ±  3.705  ms/op
DynaHistStaticOpenTelemetryExponentialBucketRecordingSpeedBenchmark.test   avgt   10   13.155 ±  0.719  ms/op
HdrDoubleHistogramRecordingSpeedBenchmark.test                             avgt   10   17.808 ±  1.238  ms/op
NrSketchComboLogIndexerRecordingSpeedBenchmark.test                        avgt   10   55.078 ±  4.758  ms/op
NrSketchComboSubBucketLogIndexerRecordingSpeedBenchmark.test               avgt   10   57.228 ±  4.233  ms/op
NrSketchComboSubBucketLookupIndexerRecordingSpeedBenchmark.test            avgt   10   26.556 ±  5.014  ms/op
NrSketchSimpleLogIndexerRecordingSpeedBenchmark.test                       avgt   10   52.639 ±  7.059  ms/op
NrSketchSimpleSubBucketLogIndexerRecordingSpeedBenchmark.test              avgt   10   50.656 ±  3.911  ms/op
NrSketchSimpleSubBucketLookupIndexerRecordingSpeedBenchmark.test           avgt   10   23.978 ±  4.312  ms/op
